Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID,Publication Type,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Source Title,Book Series Title,Book Series Subtitle,Language,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record,Venue,Citations
Wang Y.; Ouyang H.; Duan Y.,"Wang, Yichan (58309012700); Ouyang, Hongbo (58308580400); Duan, Yun (57280089500)",58309012700; 58308580400; 57280089500,Pedestrian Flow Early Warning System Based on WiFi Probe,2023.0,Lecture Notes in Electrical Engineering,1015 LNEE,,,605,611,6.0,0.0,10.1007/978-981-99-0416-7_60,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161462719&doi=10.1007%2f978-981-99-0416-7_60&partnerID=40&md5=f4102286ca11514dc5cbd95db71171eb,Conference paper,Scopus,2-s2.0-85161462719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nachappa M.N.; Sharma A.,"Nachappa, M.N. (57226716208); Sharma, Anu (58264026700)",57226716208; 58264026700,Enhancing Pedestrian Traffic Analysis with Fuzzy Clustering and WEKA Data Mining Techniques,2023.0,"2023 International Conference on Communication, Security and Artificial Intelligence, ICCSAI 2023",,,,215,218,3.0,0.0,10.1109/ICCSAI59793.2023.10421072,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186691175&doi=10.1109%2fICCSAI59793.2023.10421072&partnerID=40&md5=2672dde0fe7b9a9aa39f583e0968624c,Conference paper,Scopus,2-s2.0-85186691175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angel A.; Cohen A.; Dalyot S.; Plaut P.,"Angel, Avital (57804579000); Cohen, Achituv (57217851830); Dalyot, Sagi (25822009300); Plaut, Pnina (59157749300)",57804579000; 57217851830; 25822009300; 59157749300,Estimating pedestrian traffic with Bluetooth sensor technology,2023.0,Geo-Spatial Information Science,,,,,,,3.0,10.1080/10095020.2023.2247446,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85169781647&doi=10.1080%2f10095020.2023.2247446&partnerID=40&md5=2dc654d1976764d3497616ef9d6e5a3b,Article,Scopus,2-s2.0-85169781647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Punchihewa C.S.; Bandara J.M.S.J.,"Punchihewa, C.S. (58654377400); Bandara, J.M.S.J. (57198301013)",58654377400; 57198301013,Improving Pedestrian Movements in Congested Urban Areas,2024.0,Lecture Notes in Civil Engineering,352,,,87,102,15.0,0.0,10.1007/978-981-99-2676-3_8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174450237&doi=10.1007%2f978-981-99-2676-3_8&partnerID=40&md5=e97681b11ecfe8833634e3bcc0b89ca2,Conference paper,Scopus,2-s2.0-85174450237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kimm H.; Flynn D.,"Kimm, Haklin (22734196100); Flynn, Dennis (58040201500)",22734196100; 58040201500,Android Application for Tracking Pedestrian Movements in Realtime with Firebase,2022.0,"Proceedings - 2022 IEEE Cloud Summit, Cloud Summit 2022",,,,91,96,5.0,2.0,10.1109/CloudSummit54781.2022.00020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145440875&doi=10.1109%2fCloudSummit54781.2022.00020&partnerID=40&md5=b915e8872a11f0e0a958f5b292b3cf98,Conference paper,Scopus,2-s2.0-85145440875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Domenico G.; Carla C.G.; Margherita M.,"Domenico, Gattuso (6507371094); Carla, Cassone Gian (43661013300); Margherita, Malara (57429033800)",6507371094; 43661013300; 57429033800,Experimental models of pedestrian flows as support to design new sustainable paths in urban context,2022.0,Transportation Research Procedia,60,,,188,195,7.0,5.0,10.1016/j.trpro.2021.12.025,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123613758&doi=10.1016%2fj.trpro.2021.12.025&partnerID=40&md5=57873699080218efe69b63c9ef79c578,Conference paper,Scopus,2-s2.0-85123613758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banerjee A.; Maurya A.K.,"Banerjee, Arunabha (57211622011); Maurya, Akhilesh Kumar (25723620600)",57211622011; 25723620600,Impact of Foot Over Bridge (FOB) Upgradation Over Pedestrian Movement: A Case Study of Guwahati City,2022.0,Lecture Notes in Civil Engineering,219,,,421,433,12.0,0.0,10.1007/978-981-16-8259-9_27,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126361475&doi=10.1007%2f978-981-16-8259-9_27&partnerID=40&md5=0234e462dd8fa68c8461414bcbcf0d6e,Conference paper,Scopus,2-s2.0-85126361475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sevtsuk A.; Kalvo R.,"Sevtsuk, Andres (18937018700); Kalvo, Raul (55210777400)",18937018700; 55210777400,Predicting pedestrian flow along city streets: A comparison of route choice estimation approaches in downtown San Francisco,2022.0,International Journal of Sustainable Transportation,16,3,,222,236,14.0,19.0,10.1080/15568318.2020.1858377,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100748580&doi=10.1080%2f15568318.2020.1858377&partnerID=40&md5=aed61d90f20dd47e8cb7475eb883a35e,Article,Scopus,2-s2.0-85100748580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wu Y.; Namilae S.; Mubayi A.; Scotch M.; Srinivasan A.,"Wu, Yuxuan (57225216921); Namilae, Sirish (9276893800); Mubayi, Anuj (26632147200); Scotch, Matthew (14819997200); Srinivasan, Ashok (7202313283)",57225216921; 9276893800; 26632147200; 14819997200; 7202313283,Incorporating Pedestrian Movement in Computational Models of COVID-19 Spread during Air-travel,2022.0,IEEE Aerospace Conference Proceedings,2022-March,,,,,,1.0,10.1109/AERO53065.2022.9843497,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137585022&doi=10.1109%2fAERO53065.2022.9843497&partnerID=40&md5=00ae442b3f7c9e3e7453fa35470c4b0e,Conference paper,Scopus,2-s2.0-85137585022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xie C.-Z.; Tang T.-Q.; Zhang B.-T.; Xiang H.-J.,"Xie, Chuan-Zhi (57205700893); Tang, Tie-Qiao (12646561500); Zhang, Bo-Tao (57205601445); Xiang, Heng-Jun (57226063568)",57205700893; 12646561500; 57205601445; 57226063568,"Experiment, model, and simulation of the pedestrian flow around a training school classroom during the after-class period",2022.0,Simulation,98,1,,63,82,19.0,10.0,10.1177/00375497211025495,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110334017&doi=10.1177%2f00375497211025495&partnerID=40&md5=d605ece1ebb912563c17bbca826c696e,Article,Scopus,2-s2.0-85110334017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhang H.; Xi B.,"Zhang, Huiling (25624183500); Xi, Bangshun (57222223154)",25624183500; 57222223154,HETEROGENEOUS PEDESTRIAN TRAFFIC FLOW MODELLING AT SIGNALISED INTERSECTIONS,2022.0,Promet - Traffic and Transportation,34,2,,165,177,12.0,2.0,10.7307/ptt.v34i2.3829,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129958164&doi=10.7307%2fptt.v34i2.3829&partnerID=40&md5=73f6a8f0732a5d5a7c63879f58886e28,Article,Scopus,2-s2.0-85129958164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kong W.; Liu Y.; Li H.; Wang C.-X.; Cui X.-H.,"Kong, Wei (57225190795); Liu, Yun (57158020600); Li, Hui (57060909600); Wang, Chuan-Xu (57191986509); Cui, Xue-Hong (36642578600)",57225190795; 57158020600; 57060909600; 57191986509; 36642578600,Survey of pedestrian trajectory prediction methods based on deep learning; [基于深度学习的行人轨迹预测方法综述],2021.0,Kongzhi yu Juece/Control and Decision,36,12,,2841,2850,9.0,12.0,10.13195/j.kzyjc.2020.1841,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120535789&doi=10.13195%2fj.kzyjc.2020.1841&partnerID=40&md5=806f812580ce78c142717b9c8f99ddcf,Review,Scopus,2-s2.0-85120535789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thakur S.; Chaurasia N.; Gautam A.; Bhavna; Biswas S.,"Thakur, Sourabh (57212385408); Chaurasia, Nikhil (58484295700); Gautam, Ayush (58683872500); Bhavna (57223589140); Biswas, Subhadip (57212374626)",57212385408; 58484295700; 58683872500; 57223589140; 57212374626,Impact of Pedestrian Movements on Capacity of Undivided Streets: A Case Study,2021.0,Lecture Notes in Civil Engineering,124 LNCE,,,77,86,9.0,0.0,10.1007/978-981-33-4590-4_9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105933511&doi=10.1007%2f978-981-33-4590-4_9&partnerID=40&md5=5acc1102cc40bfbc1d99e8e3247b096c,Conference paper,Scopus,2-s2.0-85105933511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sanchez G.; Cabello L.; Castro F.,"Sanchez, Guillermo (57391872800); Cabello, Lesly (57392264000); Castro, Fernando (57211352908)",57391872800; 57392264000; 57211352908,Universal accessibility application as a proposal to reduce pedestrian flow in a bypass for users making transfers; [Aplicación de accesibilidad universal como propuesta para reducir el flujo peatonal en un bypass para usuarios que realizan transbordos],2021.0,"Proceedings of the LACCEI international Multi-conference for Engineering, Education and Technology",2021-July,,,,,,0.0,10.18687/LACCEI2021.1.1.542,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122034294&doi=10.18687%2fLACCEI2021.1.1.542&partnerID=40&md5=0d3ed97db397d16fd196c02dead8f693,Conference paper,Scopus,2-s2.0-85122034294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheng J.; Zhang Z.,"Sheng, Jian (57220751691); Zhang, Zhi (57206280091)",57220751691; 57206280091,Summary of Pedestrian Traffic Statistics Research,2020.0,"Proceedings of the 15th IEEE Conference on Industrial Electronics and Applications, ICIEA 2020",,,9248370,43,47,4.0,1.0,10.1109/ICIEA48937.2020.9248370,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097542705&doi=10.1109%2fICIEA48937.2020.9248370&partnerID=40&md5=16211448aa037cb35b38632da8451e0e,Conference paper,Scopus,2-s2.0-85097542705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cavallaro C.; Verga G.; Tramontana E.; Muscato O.,"Cavallaro, Claudia (56602578000); Verga, Gabriella (57191328666); Tramontana, Emiliano (6506100247); Muscato, Orazio (6603625967)",56602578000; 57191328666; 6506100247; 6603625967,Eliciting cities points of interest from people movements and suggesting effective itineraries,2020.0,Intelligenza Artificiale,14,1,,49,61,12.0,6.0,10.3233/IA-190040,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094862578&doi=10.3233%2fIA-190040&partnerID=40&md5=a3d14155f24ffda218962f0a855332e7,Article,Scopus,2-s2.0-85094862578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marques Moreira L.S.C.; Leão A.L.F.; Urbano M.R.; Kanashiro M.,"Marques Moreira, Lauren Santos Correia (57221919382); Leão, Ana Luiza Favarão (57219200744); Urbano, Mariana Ragassi (35099890600); Kanashiro, Milena (57219200311)",57221919382; 57219200744; 35099890600; 57219200311,"Microscale, pedestrian movement and socioeconomic levels: An empirical study; [Microescala, Movimento De Pedestres E Níveis Socioeconômicos: Um Estudo Empírico]",2021.0,Arquiteturarevista,17,1,,17,29,12.0,0.0,10.4013/arq.2021.171.02,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100576688&doi=10.4013%2farq.2021.171.02&partnerID=40&md5=ff700df28940b19aadb3eab5f82c03d5,Article,Scopus,2-s2.0-85100576688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malcolm P.; Grigoropoulos G.; Keler A.; Bogenberger K.,"Malcolm, Patrick (57221705050); Grigoropoulos, Georgios (57205548229); Keler, Andreas (56672814500); Bogenberger, Klaus (14070106400)",57221705050; 57205548229; 56672814500; 14070106400,Crowdsourced qualitative evaluation of pedestrian movement models,2020.0,Actes (IFSTTAR),,,,167,172,5.0,0.0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118769314&partnerID=40&md5=d281e3cf11a6f9b06e069201bafa3d01,Conference paper,Scopus,2-s2.0-85118769314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huang B.; Mao G.; Qin Y.; Wei Y.,"Huang, Baoqi (55459807600); Mao, Guoqiang (8732155900); Qin, Yong (7403100638); Wei, Yun (54387641700)",55459807600; 8732155900; 7403100638; 54387641700,Pedestrian Flow Estimation through Passive WiFi Sensing,2021.0,IEEE Transactions on Mobile Computing,20,4,8936381,1529,1542,13.0,34.0,10.1109/TMC.2019.2959610,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102391524&doi=10.1109%2fTMC.2019.2959610&partnerID=40&md5=4e70f4fdbfd843156fa78e7609253fc8,Article,Scopus,2-s2.0-85102391524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bröker K.C.A.; Gailey G.; Tyurneva O.Yu.; Yakovlev Y.M.; Sychenko O.; Dupont J.M.; Vertyankin V.V.; Shevtsov E.; Drozdov K.A.,"Bröker, Koen C.A. (24069841100); Gailey, Glenn (8918247200); Tyurneva, Olga Yu. (36028846100); Yakovlev, Yuri M. (9036200100); Sychenko, Olga (57188698611); Dupont, Jennifer M. (25622098500); Vertyankin, Vladimir V. (6504552792); Shevtsov, Evgeny (57218541123); Drozdov, Konstantin A. (36962005100)",24069841100; 8918247200; 36028846100; 9036200100; 57188698611; 25622098500; 6504552792; 57218541123; 36962005100,"Site-fidelity and spatial movements of western north pacific gray whales on their summer range off Sakhalin, Russia",2020.0,PLoS ONE,15,8 August,e0236649,,,,12.0,10.1371/journal.pone.0236649,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089554262&doi=10.1371%2fjournal.pone.0236649&partnerID=40&md5=ab8f2fefa79cff8a29e05ecd13d48c83,Article,Scopus,2-s2.0-85089554262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baqui M.; Samad M.D.; Löhner R.,"Baqui, Muhammad (57189268612); Samad, Manar D. (57189292517); Löhner, Rainald (55663238400)",57189268612; 57189292517; 55663238400,A novel framework for automated monitoring and analysis of high density pedestrian flow,2020.0,"Journal of Intelligent Transportation Systems: Technology, Planning, and Operations",24,6,,585,597,12.0,5.0,10.1080/15472450.2019.1643724,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073792606&doi=10.1080%2f15472450.2019.1643724&partnerID=40&md5=369821fdd6b79996e68766703b57acb0,Article,Scopus,2-s2.0-85073792606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chen Y.; Yang J.,"Chen, Yue (57218382792); Yang, Jianqiang (57171114600)",57218382792; 57171114600,Historic Neighborhood Design Based on Facility Heatmap and Pedestrian Simulation: Case Study in China,2020.0,Journal of Urban Planning and Development,146,2,04020001,,,,8.0,10.1061/(ASCE)UP.1943-5444.0000554,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082124210&doi=10.1061%2f%28ASCE%29UP.1943-5444.0000554&partnerID=40&md5=29129632de451f4bed9d5629845cec3d,Article,Scopus,2-s2.0-85082124210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malcolm P.; Grigoropoulos G.; Keler A.; Bogenberger K.,"Malcolm, Patrick (57221705050); Grigoropoulos, Georgios (57205548229); Keler, Andreas (56672814500); Bogenberger, Klaus (14070106400)",57221705050; 57205548229; 56672814500; 14070106400,Crowdsourced Qualitative Evaluation of Pedestrian Movement Models,2021.0,Actes (IFSTTAR),,,,167,172,5.0,0.0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124306220&partnerID=40&md5=eb184241ca1f4328675a410b1b3b5c08,Conference paper,Scopus,2-s2.0-85124306220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wong P.K.-Y.; Cheng J.C.P.,"Wong, Peter Kok-Yiu (57210803584); Cheng, Jack C. P. (57204665849)",57210803584; 57204665849,Monitoring pedestrian flow on campus with multiple cameras using computer vision and deep learning techniques,2020.0,Lecture Notes in Civil Engineering,54,,,1149,1154,5.0,3.0,10.1007/978-981-15-0802-8_184,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073685219&doi=10.1007%2f978-981-15-0802-8_184&partnerID=40&md5=e75f43aa8157742249fd94f39836db53,Book chapter,Scopus,2-s2.0-85073685219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
