Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
C,"Angel, A; Plaut, P",,"Nathanail, EG; Gavanas, N; Adamos, G",,"Angel, Avital; Plaut, Pnina",,,Pedestrian Movement and the Built Environment - A Big Data-Based Analysis,"SMART ENERGY FOR SMART TRANSPORT, CSUM2022",Lecture Notes in Intelligent Transportation and Infrastructure,,,,6th Conference on Sustainable Urban Mobility (CSUM) - Smart Energy for Smart Transport,"AUG 31-SEP 02, 2022",GREECE,,,,,,,,,,,,,,,,,,,,,,,,2523-3440,2523-3459,978-3-031-23720-1; 978-3-031-23721-8,,,,2023,,,,,,,728,728,,10.1007/978-3-031-23721-8_61,http://dx.doi.org/10.1007/978-3-031-23721-8_61,,,,,,,,,,,,,WOS:001000789400061,View Full Record in Web of Science
J,"Ruan, L; Zhang, L; Zhou, T; Long, Y",,,,"Ruan, Ling; Zhang, Ling; Zhou, Tong; Long, Yi",,,An Improved Bluetooth Indoor Positioning Method Using Dynamic Fingerprint Window,SENSORS,,,,,,,,,,,,,,,,,,"Zhang, Ling/0000-0002-3228-8374",,,,,,,,,,,,,,1424-8220,,,,DEC,2020,20,24,,,,,,,7269,10.3390/s20247269,http://dx.doi.org/10.3390/s20247269,,,,,,,,33352918,,,,,WOS:000603177300001,View Full Record in Web of Science
J,"Yamada, T; Utaka, M",,,,"Yamada, Takashi; Utaka, Michise",,,Evaluating ticket gate directional restrictions using simulations of pedestrian flow considering stationary people in a railroad station concourse,JOURNAL OF ASIAN ARCHITECTURE AND BUILDING ENGINEERING,,,,,,,,,,,,,,,,,"Alidadi, Mehdi/HJZ-0235-2023","Alidadi, Mehdi/0000-0001-5183-7829; Yamada, Takashi/0000-0002-3133-1983",,,,,,,,,,,,,1346-7581,1347-2852,,,,Jul-04,2023,22,4,,,,,2058,2073,,10.1080/13467581.2022.2153063,http://dx.doi.org/10.1080/13467581.2022.2153063,,Dec-22,,,,,,,,,,,WOS:000893404000001,View Full Record in Web of Science
J,"Alitaleshi, A; Jazayeriy, H; Kazemitabar, J",,,,"Alitaleshi, Atefe; Jazayeriy, Hamid; Kazemitabar, Javad",,,Indoor Pedestrian Trajectory Reconstruction Using Spatial-Temporal Error Correction and Dynamic Time Warping-Based Path Matching for Fingerprints Map Creation,ARABIAN JOURNAL FOR SCIENCE AND ENGINEERING,,,,,,,,,,,,,,,,,"Alitaleshi, Atefe/H-5271-2019","Alitaleshi, Atefe/0000-0002-4040-4603; Jazayeriy, Hamid/0000-0002-1515-8957",,,,,,,,,,,,,2193-567X,2191-4281,,,,FEB,2023,48,2,,,,,2101,2119,,10.1007/s13369-022-07095-8,http://dx.doi.org/10.1007/s13369-022-07095-8,,Aug-22,,,,,,,,,,,WOS:000838550000007,View Full Record in Web of Science
J,"Wong, PKY; Luo, H; Wang, MZ; Leung, PH; Cheng, JCP",,,,"Wong, Peter Kok-Yiu; Luo, Han; Wang, Mingzhu; Leung, Pak Him; Cheng, Jack C. P.",,,Recognition of pedestrian trajectories and attributes with computer vision and deep learning techniques,ADVANCED ENGINEERING INFORMATICS,,,,,,,,,,,,,,,,,"wang, ming/HPC-6329-2023; Lin, Xiaoqi/KFS-5750-2024; Guo, Lin/KFS-9366-2024; Wang, Mingzhu/IQV-5075-2023; LUO, Han/AGF-9861-2022; LIU, LIYING/KAM-4121-2024","Wang, Mingzhu/0000-0003-2622-1939; LUO, Han/0000-0001-8900-6692;",,,,,,,,,,,,,1474-0346,1873-5320,,,,AUG,2021,49,,,,,,,,101356,10.1016/j.aei.2021.101356,http://dx.doi.org/10.1016/j.aei.2021.101356,,Jul-21,,,,,,,,,,,WOS:000684551900003,View Full Record in Web of Science
J,"Sevtsuk, A; Kalvo, R",,,,"Sevtsuk, Andres; Kalvo, Raul",,,Predicting pedestrian flow along city streets: A comparison of route choice estimation approaches in downtown San Francisco,INTERNATIONAL JOURNAL OF SUSTAINABLE TRANSPORTATION,,,,,,,,,,,,,,,,,"Sevtsuk, Andres/JMI-1024-2023","Sevtsuk, Andres/0000-0001-5098-9636",,,,,,,,,,,,,1556-8318,1556-8334,,,,Mar-01,2022,16,3,,,,,222,236,,10.1080/15568318.2020.1858377,http://dx.doi.org/10.1080/15568318.2020.1858377,,Dec-20,,,,,,,,,,,WOS:000615872800001,View Full Record in Web of Science
J,"Cavallaro, C; Verga, G; Tramontana, E; Muscato, O",,,,"Cavallaro, Claudia; Verga, Gabriella; Tramontana, Emiliano; Muscato, Orazio",,,Eliciting cities points of interest from people movements and suggesting effective itineraries,INTELLIGENZA ARTIFICIALE,,,,,,,,,,,,,,,,,"Cavallaro, Claudia/GRR-9707-2022; Tramontana, Emiliano/J-3357-2013; Tramontana, Emiliano/HCI-6836-2022; MUSCATO, Orazio/L-8230-2015","Tramontana, Emiliano/0000-0002-7169-659X; Verga, Gabriella/0009-0007-1028-2178; Cavallaro, Claudia/0000-0003-3938-0947",,,,,,,,,,,,,1724-8035,2211-0097,,,,,2020,14,1,,,,,75,87,,10.3233/IA-190040,http://dx.doi.org/10.3233/IA-190040,,,,,,,,,,,,,WOS:000574865700006,View Full Record in Web of Science
J,"Xie, CZ; Tang, TQ; Zhang, BT; Xiang, HJ",,,,"Xie, Chuan-Zhi; Tang, Tie-Qiao; Zhang, Bo-Tao; Xiang, Heng-Jun",,,"Experiment, model, and simulation of the pedestrian flow around a training school classroom during the after-class period",SIMULATION-TRANSACTIONS OF THE SOCIETY FOR MODELING AND SIMULATION INTERNATIONAL,,,,,,,,,,,,,,,,,,"Xie, Chuan-Zhi/0009-0002-8780-7220",,,,,,,,,,,,,0037-5497,1741-3133,,,,JAN,2022,98,1,,,,,63,82,3.75E+14,10.1177/00375497211025495,http://dx.doi.org/10.1177/00375497211025495,,Jul-21,,,,,,,,,,,WOS:000679350000001,View Full Record in Web of Science
J,"Campbell, MJ; Dennison, PE; Thompson, MP",,,,"Campbell, Michael J.; Dennison, Philip E.; Thompson, Matthew P.",,,Predicting the variability in pedestrian travel rates and times using crowdsourced GPS data,COMPUTERS ENVIRONMENT AND URBAN SYSTEMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0198-9715,1873-7587,,,,OCT,2022,97,,,,,,,,101866,10.1016/j.compenvurbsys.2022.101866,http://dx.doi.org/10.1016/j.compenvurbsys.2022.101866,,Aug-22,,,,,,,,,,,WOS:000859986200001,View Full Record in Web of Science
C,"Sichani, M; Arnold, R; Bubendorfer, K",,,IEEE,"Sichani, Mohsen; Arnold, Richard; Bubendorfer, Kris",,,Finding the Signal: Near Real-time Data Analysis for Urban Traffic Monitoring on a Distributed Bluetooth Sensor Network,2022 IEEE 18TH INTERNATIONAL CONFERENCE ON E-SCIENCE (ESCIENCE 2022),Proceeding IEEE International Conference on e-Science (e-Science),,,,IEEE 18th International Conference on E-Science (E-Science),"OCT 10-14, 2022","Salt Lake City, UT","IEEE,IEEE Comp Soc Tech Comm Parallel Proc,IEEE Tech Comm High Performance Comp,Intel,ViSOAR,Sci Comp & Imaging Inst",,,,,,,,,,,,,,,,,,,,,,,2325-372X,,978-1-6654-6124-5,,,,2022,,,,,,,171,181,,10.1109/eScience55777.2022.00031,http://dx.doi.org/10.1109/eScience55777.2022.00031,,,,,,,,,,,,,WOS:000927625900017,View Full Record in Web of Science
J,"Li, Y; Sarvi, M; Khoshelham, K; Zhang, YY; Jiang, YZ",,,,"Li, Yan; Sarvi, Majid; Khoshelham, Kourosh; Zhang, Yuyang; Jiang, Yazhen",,,Pedestrian Origin-Destination Estimation Based on Multi-Camera Person Re-Identification,SENSORS,,,,,,,,,,,,,,,,,"; Khoshelham, Kourosh/A-3789-2010","Zhang, Yuyang/0000-0001-9207-4039; Khoshelham, Kourosh/0000-0001-6639-1727",,,,,,,,,,,,,,1424-8220,,,,OCT,2022,22,19,,,,,,,7429,10.3390/s22197429,http://dx.doi.org/10.3390/s22197429,,,,,,,,36236528,,,,,WOS:000867181300001,View Full Record in Web of Science
J,"Kwok, CYT; Wong, MS; Griffiths, S; Wong, FYY; Kam, R; Chin, DCW; Xiong, GJ; Mok, E",,,,"Kwok, Coco Yin Tung; Wong, Man Sing; Griffiths, Sion; Wong, Fiona Yan Yan; Kam, Roy; Chin, David C. W.; Xiong, Guanjing; Mok, Esmond",,,Performance Evaluation of iBeacon Deployment for Location-Based Services in Physical Learning Spaces,APPLIED SCIENCES-BASEL,,,,,,,,,,,,,,,,,"Wong, Frances K Y/E-5787-2014; Wong, Man Sing/A-2718-2014","GRIFFITHS, SION/0000-0002-1500-1394; Chin, David/0000-0002-7868-038X; Wong, Man Sing/0000-0002-6439-6775; Wong, Fiona/0000-0002-6805-1563",,,,,,,,,,,,,,2076-3417,,,,OCT,2020,10,20,,,,,,,7126,10.3390/app10207126,http://dx.doi.org/10.3390/app10207126,,,,,,,,,,,,,WOS:000585220500001,View Full Record in Web of Science
J,"Zaidi, SMA; Chandola, V; Yoo, EH",,,,"Zaidi, Syed Mohammed Arshad; Chandola, Varun; Yoo, Eun-Hye",,,DST-Predict: Predicting Individual Mobility Patterns From Mobile Phone GPS Data,IEEE ACCESS,,,,,,,,,,,,,,,,,,"Zaidi, Syed Mohammed Arshad/0000-0002-7579-8892",,,,,,,,,,,,,2169-3536,,,,,,2021,9,,,,,,167592,167604,,10.1109/ACCESS.2021.3134586,http://dx.doi.org/10.1109/ACCESS.2021.3134586,,,,,,,,35813002,,,,,WOS:000736734800001,View Full Record in Web of Science
J,"Moreira, LSCM; Leao, ALF; Urbano, MR; Kanashiro, M",,,,"Correia Marques Moreira, Lauren Santos; Favarao Leao, Ana Luiza; Urbano, Mariana Ragassi; Kanashiro, Milena",,,"MICROSCALE, PEDESTRIAN MOVEMENT AND SOCIOECONOMIC LEVELS: AN EMPIRICAL STUDY",ARQUITETURA REVISTA,,,,,,,,,,,,,,,,,"Kanashiro, Milena/AAK-8709-2021; Urbano, Mariana Ragassi/AAQ-5622-2021","Kanashiro, Milena/0000-0002-8796-4237; Urbano, Mariana Ragassi/0000-0002-5411-5554",,,,,,,,,,,,,1808-5741,,,,,JAN-JUN,2021,17,1,,,,,17,29,,10.4013/arq.2021.171.02,http://dx.doi.org/10.4013/arq.2021.171.02,,,,,,,,,,,,,WOS:000610063100002,View Full Record in Web of Science
C,"Li, SF",,"Meen, TH",,"Li, Shaofu",,,Modeling and Analysis of Pedestrian Movement during Weekends,"PROCEEDINGS OF THE 3RD IEEE INTERNATIONAL CONFERENCE ON ARCHITECTURE, CONSTRUCTION, ENVIRONMENT AND HYDRAULICS 2021",,,,,"3rd IEEE International Conference on Architecture, Construction, Environment and Hydraulics","DEC 24-26, 2021","Natl United Univ, Miaoli County, TAIWAN","IEEE,IIKII,Taiwan Soc Construct Engineers,Bur Foreign Trade,Taiwan Architecure & Building Ctr",Natl United Univ,,,,,,,,"Li, Shaofu/IZQ-6074-2023; Li, Shaofu/HTM-6300-2023",,,,,,,,,,,,,,,,978-1-6654-0530-0,,,,2021,,,,,,,19,23,,10.1109/ICACEH54312.2021.9768846,http://dx.doi.org/10.1109/ICACEH54312.2021.9768846,,,,,,,,,,,,,WOS:000851401000003,View Full Record in Web of Science
J,"López-Jara, MJ; Sacristán, I; Farías, AA; Maron-Perez, F; Acuña, F; Aguilar, E; García, S; Contreras, P; Silva-Rodríguez, EA; Napolitano, C",,,,"Jose Lopez-Jara, Maria; Sacristan, Irene; Farias, Ariel A.; Maron-Perez, Francisca; Acuna, Francisca; Aguilar, Emilio; Garcia, Sebastian; Contreras, Patricio; Silva-Rodriguez, Eduardo A.; Napolitano, Constanza",,,"Free-roaming domestic cats near conservation areas in Chile: Spatial movements, human care and risks for wildlife",PERSPECTIVES IN ECOLOGY AND CONSERVATION,,,,,,,,,,,,,,,,,"Farias, Ariel/ABA-8072-2021; Silva-Rodriguez, Eduardo A./B-1854-2010","Farias, Ariel/0000-0001-7510-2253; Silva-Rodriguez, Eduardo A./0000-0001-9416-8653; Maron-Perez, Francisca/0000-0001-7633-7003; Lopez-Jara, Maria Jose/0000-0002-9646-6483",,,,,,,,,,,,,2530-0644,,,,,JUL-SEP,2021,19,3,,,,,387,398,,10.1016/j.pecon.2021.02.001,http://dx.doi.org/10.1016/j.pecon.2021.02.001,,Aug-21,,,,,,,,,,,WOS:000684303700017,View Full Record in Web of Science
J,"Pálková, M; Uhlík, O; Apeltauer, T",,,,"Palkova, Martina; Uhlik, Ondrej; Apeltauer, Tomas",,,Calibration of pedestrian ingress model based on CCTV surveillance data using machine learning methods,PLOS ONE,,,,,,,,,,,,,,,,,"Uhlik, Ondrej/HPC-7385-2023","Uhlik, Ondrej/0000-0001-9047-4784",,,,,,,,,,,,,1932-6203,,,,,Jan-18,2024,19,1,,,,,,,e0293679,10.1371/journal.pone.0293679,http://dx.doi.org/10.1371/journal.pone.0293679,,,,,,,,38236901,,,,,WOS:001174325200016,View Full Record in Web of Science
J,"Bröker, KCA; Gailey, G; Tyurneva, OY; Yakovlev, YM; Sychenko, O; Dupont, JM; Vertyankin, VV; Shevtsov, E; Drozdov, KA",,,,"Broker, Koen C. A.; Gailey, Glenn; Tyurneva, Olga Yu; Yakovlev, Yuri M.; Sychenko, Olga; Dupont, Jennifer M.; Vertyankin, Vladimir V.; Shevtsov, Evgeny; Drozdov, Konstantin A.",,,"Site-fidelity and spatial movements of western North Pacific gray whales on their summer range off Sakhalin, Russia",PLOS ONE,,,,,,,,,,,,,,,,,"Yakovlev, Yuri/AAU-8262-2021","Yakovlev, Yuri/0000-0001-5090-2502; Broker, Koen/0000-0002-5965-5517",,,,,,,,,,,,,1932-6203,,,,,Aug-14,2020,15,8,,,,,,,e0236649,10.1371/journal.pone.0236649,http://dx.doi.org/10.1371/journal.pone.0236649,,,,,,,,32797058,,,,,WOS:000562671300051,View Full Record in Web of Science
J,"Dong, XX; Guerra, E; Daziano, RA",,,,"Dong, Xiaoxia; Guerra, Erick; Daziano, Ricardo A.",,,Will automated vehicles encourage more jaywalking? Results from a stated preference survey,TRANSPORTATION RESEARCH PART F-TRAFFIC PSYCHOLOGY AND BEHAVIOUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1369-8478,1873-5517,,,,MAY,2024,103,,,,,,217,229,,10.1016/j.trf.2024.04.011,http://dx.doi.org/10.1016/j.trf.2024.04.011,,,,,,,,,,,,,WOS:001232819100001,View Full Record in Web of Science
J,"Song, Y; Chen, XJ; Zou, BP; Mu, JD; Hu, RS; Cheng, SQ; Zhao, SL",,,,"Song, Yu; Chen, Xuejun; Zou, Baoping; Mu, Jundong; Hu, Rusheng; Cheng, Siqi; Zhao, Shengli",,,Monitoring Study of Long-Term Land Subsidence during Subway Operation in High-Density Urban Areas Based on DInSAR-GPS-GIS Technology and Numerical Simulation,CMES-COMPUTER MODELING IN ENGINEERING & SCIENCES,,,,,,,,,,,,,,,,,"Li, Kunpeng/KFS-6306-2024; wang, liangyu/KHD-1769-2024",,,,,,,,,,,,,,1526-1492,1526-1506,,,,,2023,134,2,,,,,1021,1039,,10.32604/cmes.2022.021164,http://dx.doi.org/10.32604/cmes.2022.021164,,,,,,,,,,,,,WOS:000890985200016,View Full Record in Web of Science
J,"Xia, Q; Wu, WL; Li, FN; Xia, Y; Ding, XL; Lam, WHK; Chung, WH; Xu, YL",,,,"Xia, Qi; Wu, Wang-lin; Li, Fu-nian; Xia, Yong; Ding, Xiao-li; Lam, William H. K.; Chung, Weng-hong; Xu, You-lin",,,System design and demonstration of performance monitoring of a butterfly-shaped arch footbridge,STRUCTURAL CONTROL & HEALTH MONITORING,,,,,,,,,,,,,,,,,"wang, jiaqi/JSL-7112-2023; xia, qi/JBR-8998-2023; Lam, William H.K./B-3590-2014; XU, You-Lin/B-8895-2015; Xia, Yong/A-2653-2009; Ding, Xiaoli/K-4596-2013","Lam, William H.K./0000-0002-7625-3712; XU, You-Lin/0000-0002-1460-082X; Xia, Qi/0000-0002-5355-132X; Xia, Yong/0000-0001-5319-5858; Ding, Xiaoli/0000-0002-5733-3629",,,,,,,,,,,,,1545-2255,1545-2263,,,,JUL,2021,28,7,,,,,,,e2738,10.1002/stc.2738,http://dx.doi.org/10.1002/stc.2738,,Apr-21,,,,,,,,,,,WOS:000640170300001,View Full Record in Web of Science
J,"Shi, XM; Xue, SQ; Feliciani, C; Shiwakoti, N; Lin, JK; Li, DW; Ye, ZR",,,,"Shi, Xiaomeng; Xue, Shuqi; Feliciani, Claudio; Shiwakoti, Nirajan; Lin, Junkai; Li, Dawei; Ye, Zhirui",,,Verifying the applicability of a pedestrian simulation model to reproduce the effect of exit design on egress flow under normal and emergency conditions,PHYSICA A-STATISTICAL MECHANICS AND ITS APPLICATIONS,,,,,,,,,,,,,,,,,"Feliciani, Claudio/JWP-7035-2024; xue, shuqi/GYV-1709-2022","Feliciani, Claudio/0000-0003-0718-8707; Shiwakoti, Nirajan/0000-0003-1082-1200; Xue, Shuqi/0000-0002-6122-9947",,,,,,,,,,,,,0378-4371,1873-2119,,,,Jan-15,2021,562,,,,,,,,125347,10.1016/j.physa.2020.125347,http://dx.doi.org/10.1016/j.physa.2020.125347,,,,,,,,,,,,,WOS:000588306300025,View Full Record in Web of Science
J,"Deng, JY; Andrada, RT",,,,"Deng, Jinyang; Andrada, Rogelio Tucay, II",,,"VISITORS' SPATIAL MOVEMENT PATTERNS AND MARKET SEGMENTATION IN WASHINGTON, DC",TOURISM ANALYSIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1083-5423,1943-3999,,,,,2020,25,1,,,,,1,20,,10.3727/108354220X15758301241576,http://dx.doi.org/10.3727/108354220X15758301241576,,,,,,,,,,,,,WOS:000518955100001,View Full Record in Web of Science
J,"Maretto, M; Gherri, B; Maiullari, D; Vernizzi, C; Pitanti, G; Finizza, C; Monacelli, A",,,,"Maretto, Marco; Gherri, Barbara; Maiullari, Daniela; Vernizzi, Chiara; Pitanti, Greta; Finizza, Chiara; Monacelli, Alice",,,Environmental Urban Morphology: A Multidisciplinary Methodology for the Analysis of Public Spaces in Dense Urban Fabrics,SUSTAINABILITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2071-1050,,,,DEC,2023,15,23,,,,,,,16493,10.3390/su152316493,http://dx.doi.org/10.3390/su152316493,,,,,,,,,,,,,WOS:001118019200001,View Full Record in Web of Science
J,"Zhang, JJ; Zhou, WY; Lian, HT; Hu, RR",,,,"Zhang, Jinjiang; Zhou, Wenyu; Lian, Haitao; Hu, Ranran",,,Research on Optimization Strategy of Commercial Street Spatial Vitality Based on Pedestrian Trajectories,BUILDINGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2075-5309,,,,MAY,2024,14,5,,,,,,,1240,10.3390/buildings14051240,http://dx.doi.org/10.3390/buildings14051240,,,,,,,,,,,,,WOS:001232919700001,View Full Record in Web of Science
J,"Li, ZT; Lo, SM; Ma, J; Luo, XW",,,,"Li, Zitong; Lo, S. M.; Ma, Jian; Luo, X. W.",,,A study on passengers' alighting and boarding process at metro platform by computer simulation,TRANSPORTATION RESEARCH PART A-POLICY AND PRACTICE,,,,,,,,,,,,,,,,,"luo, xiaowei/GON-4131-2022; Ma, J./G-2929-2011","luo, xiaowei/0000-0002-9360-7308; Ma, Jian/0000-0002-1056-8519",,,,,,,,,,,,,0965-8564,,,,,FEB,2020,132,,,,,,840,854,,10.1016/j.tra.2019.12.017,http://dx.doi.org/10.1016/j.tra.2019.12.017,,,,,,,,,,,,,WOS:000514014700054,View Full Record in Web of Science
