Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID,Publication Type,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Source Title,Book Series Title,Book Series Subtitle,Language,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record,Venue,Citations
Behera A.; Nathan H.S.K.,"Behera, Anshuman (57192299426); Nathan, Hippu Salk Kristle (26650118800)",57192299426; 26650118800,"Negotiating Development at the Margins: Natural Resources, Conflicts, and People’s Movements in Odisha",2023.0,"Negotiating Development at the Margins: Natural Resources, Conflicts, and People’s Movements in Odisha",,,,1,147,146.0,0.0,10.4324/9781003458784,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174758429&doi=10.4324%2f9781003458784&partnerID=40&md5=ae54bdfbb8aeaadfb3a2942ef5316d81,Book,Scopus,2-s2.0-85174758429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alamoush S.J.; Kertesz A.,"Alamoush, Saja Jamil (57203187194); Kertesz, Andras (57222986173)",57203187194; 57222986173,Accessibility as a factor for a livable cities: The case of Salt City in Jordan,2022.0,Pollack Periodica,17,3,,147,151,4.0,1.0,10.1556/606.2022.00601,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141381789&doi=10.1556%2f606.2022.00601&partnerID=40&md5=62b23664aea6e9f3e07b012155e25541,Article,Scopus,2-s2.0-85141381789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gupta S.; Rathee A.; Agarwal M.; Gupta N.,"Gupta, Shikha (57935131500); Rathee, Anu (57211917150); Agarwal, Mohit (57359985900); Gupta, Nishi (58593528300)",57935131500; 57211917150; 57359985900; 58593528300,Social Distance Monitoring and Infection Risk Assessment in COVID-19 Pandemic,2023.0,Communications in Computer and Information Science,1894 CCIS,,,159,170,11.0,0.0,10.1007/978-3-031-43145-6_14,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174487941&doi=10.1007%2f978-3-031-43145-6_14&partnerID=40&md5=7e021bc1d27ae1e543083655dd467ab4,Conference paper,Scopus,2-s2.0-85174487941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wade C.; Trotter M.; Chang A.; Steele C.; Prihodko L.; Bailey D.W.,"Wade, Caroline (57311890700); Trotter, Mark (34772309000); Chang, Anita (57215651923); Steele, Caitriana (16040445500); Prihodko, Lara (7801522301); Bailey, Derek W. (7402156275)",57311890700; 34772309000; 57215651923; 16040445500; 7801522301; 7402156275,Use of Global Positioning System Tracking to Assess Landscape Distribution in Extensive Small Ruminant Operations,2024.0,Rangeland Ecology and Management,94,,,29,37,8.0,0.0,10.1016/j.rama.2024.01.010,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185598663&doi=10.1016%2fj.rama.2024.01.010&partnerID=40&md5=5e0aa294ecad1e46c00bd0e0786e089b,Article,Scopus,2-s2.0-85185598663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schuetz E.; Flohr F.B.,"Schuetz, Erik (58848555000); Flohr, Fabian B. (55263777300)",58848555000; 55263777300,A Review of Trajectory Prediction Methods for the Vulnerable Road User,2024.0,Robotics,13,1,1,,,,0.0,10.3390/robotics13010001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183353708&doi=10.3390%2frobotics13010001&partnerID=40&md5=82780905e0c72961e17218a0f9b9a201,Review,Scopus,2-s2.0-85183353708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cetin G.; Kucuk M.A.; Koroglu M.T.,"Cetin, Gokhan (57193714537); Kucuk, Mehmet Ali (57323427900); Koroglu, Muhammed Taha (38061689900)",57193714537; 57323427900; 38061689900,Pedestrian Inertial Navigation with Multi-Head CNN,2023.0,"2023 IEEE International Workshop on Metrology for Industry 4.0 and IoT, MetroInd4.0 and IoT 2023 - Proceedings",,,,275,280,5.0,1.0,10.1109/MetroInd4.0IoT57462.2023.10180130,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168095720&doi=10.1109%2fMetroInd4.0IoT57462.2023.10180130&partnerID=40&md5=3dd71d0566ec4eb8d35cb4288cfabc0a,Conference paper,Scopus,2-s2.0-85168095720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Introduction,2023.0,"Youth Movements and Generational Politics, 19th-21st Centuries",,,,1,16,15.0,0.0,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172997085&partnerID=40&md5=eb8b0c44cee16fb5b64d913a63bee320,Book chapter,Scopus,2-s2.0-85172997085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gimeno M.; García J.A.; Afán I.; Aymí R.; Montalvo T.; Navarro J.,"Gimeno, Míriam (58757925800); García, José Antonio (7406130738); Afán, Isabel (55418930400); Aymí, Raül (6505995153); Montalvo, Tomás (52063638900); Navarro, Joan (15835212200)",58757925800; 7406130738; 55418930400; 6505995153; 52063638900; 15835212200,Age-related differences in foraging behaviour at sea and interactions with fishing vessels in an opportunistic urban gull,2023.0,ICES Journal of Marine Science,80,9,,2405,2413,8.0,2.0,10.1093/icesjms/fsac120,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179417309&doi=10.1093%2ficesjms%2ffsac120&partnerID=40&md5=2ea00a7419a97b2926b4f6f6f2d06458,Article,Scopus,2-s2.0-85179417309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gorlova O.; Laiyk A.; Sakatai A.; Stativa E.; Denikin A.; Denikina Z.,"Gorlova, Olga (56070743500); Laiyk, Aidana (58565463600); Sakatai, Asel (58565126200); Stativa, Ekaterina (57193085375); Denikin, Anatoly (57222325713); Denikina, Zoya (57212243677)",56070743500; 58565463600; 58565126200; 57193085375; 57222325713; 57212243677,Road Network Research Towards Sustainable Development of the Metropolitan Area,2023.0,E3S Web of Conferences,403,,07010,,,,0.0,10.1051/e3sconf/202340307010,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85170068482&doi=10.1051%2fe3sconf%2f202340307010&partnerID=40&md5=a2fb8ed1fc535d9c40208a59174438ad,Conference paper,Scopus,2-s2.0-85170068482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Takeda M.; Onishi M.,"Takeda, Mei (58886308200); Onishi, Masaki (7102474552)",58886308200; 7102474552,Generating large-scale human flow datasets from measured pedestrian movement data and simulation,2023.0,"Proceedings - 2023 IEEE International Conference on Big Data, BigData 2023",,,,4026,4030,4.0,0.0,10.1109/BigData59044.2023.10386284,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184985731&doi=10.1109%2fBigData59044.2023.10386284&partnerID=40&md5=1d64fa1c0aeafce796ff4704dd66ace3,Conference paper,Scopus,2-s2.0-85184985731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manish; Dohare U.; Kumar S.,"Manish (58285121100); Dohare, Upasana (55941020600); Kumar, Sushil (59150112500)",58285121100; 55941020600; 59150112500,A Survey of Vehicle Trajectory Prediction Based on Deep Learning Models,2023.0,Lecture Notes in Networks and Systems,587,,,649,664,15.0,1.0,10.1007/978-981-19-7874-6_48,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149695487&doi=10.1007%2f978-981-19-7874-6_48&partnerID=40&md5=d294cc970d99082cff8fa337d6f937a5,Conference paper,Scopus,2-s2.0-85149695487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angel A.; Plaut P.,"Angel, Avital (57804579000); Plaut, Pnina (59157749300)",57804579000; 59157749300,Pedestrian Movement and the Built Environment – A Big Data-Based Analysis,2023.0,Lecture Notes in Intelligent Transportation and Infrastructure,Part F1378,,,728,,,0.0,10.1007/978-3-031-23721-8_61,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85171566990&doi=10.1007%2f978-3-031-23721-8_61&partnerID=40&md5=b7c19d8ada9a6b14f359c385c2807878,Book chapter,Scopus,2-s2.0-85171566990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yıldırım Ö.C.; Çelik E.,"Yıldırım, Özge Ceylin (57788763500); Çelik, Elif (57790042100)",57788763500; 57790042100,"Understanding pedestrian behavior and spatial relations: A pedestrianized area in Besiktas, Istanbul",2023.0,Frontiers of Architectural Research,12,1,,67,84,17.0,7.0,10.1016/j.foar.2022.06.009,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133679722&doi=10.1016%2fj.foar.2022.06.009&partnerID=40&md5=e69da66a756f7ad2957ace291b8ae940,Article,Scopus,2-s2.0-85133679722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul A.; Qamar S.,"Paul, Akshaya (58623164500); Qamar, Sharif (57201402041)",58623164500; 57201402041,Assessment of Utilization of the Foot Over Bridges in Delhi,2023.0,Lecture Notes in Civil Engineering,361 LNCE,,,283,308,25.0,0.0,10.1007/978-981-99-3447-8_14,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172678867&doi=10.1007%2f978-981-99-3447-8_14&partnerID=40&md5=6b07538510038466e074f2449597e2e7,Conference paper,Scopus,2-s2.0-85172678867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhao M.; Wang Y.; Wang M.; Xue J.,"Zhao, Meifeng (55949155600); Wang, Yue (58855516800); Wang, Momo (58511172800); Xue, Jiexin (58510817400)",55949155600; 58855516800; 58511172800; 58510817400,"Evolution of business pattern and vitality of commercial streets and mechanism under the influence of we media communication: A case study of Yaocun commercial street of Xiqing District, Tianjin",2023.0,Progress in Geography,42,7,,1256,1271,15.0,2.0,10.18306/dlkxjz.2023.07.003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166056123&doi=10.18306%2fdlkxjz.2023.07.003&partnerID=40&md5=2bce4b937532690d1976cb027b550788,Article,Scopus,2-s2.0-85166056123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pálková M.; Uhlík O.; Apeltauer T.,"Pálková, Martina (58818090800); Uhlík, Ondřej (57799488700); Apeltauer, Tomáš (35067734400)",58818090800; 57799488700; 35067734400,Calibration of pedestrian ingress model based on CCTV surveillance data using machine learning methods,2024.0,PLoS ONE,19,1 January,e0293679,,,,0.0,10.1371/journal.pone.0293679,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182600088&doi=10.1371%2fjournal.pone.0293679&partnerID=40&md5=d1b8f9ae9a88688c52c45964415c2c48,Article,Scopus,2-s2.0-85182600088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kim T.; Park S.; Kim M.,"Kim, Taehyeon (57199879176); Park, Seho (55717320400); Kim, Myeongseop (57217829774)",57199879176; 55717320400; 57217829774,WiFi's Unspoken Tales: Deep Neural Network Decodes Human Behavior from Channel State Information,2023.0,"10th IEEE/ACM International Conference on Big Data Computing, Applications and Technologies, BDCAT  2023",,,22,,,,0.0,10.1145/3632366.3632374,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192200208&doi=10.1145%2f3632366.3632374&partnerID=40&md5=c8c24d578b66931282223fddb1cb123c,Conference paper,Scopus,2-s2.0-85192200208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyeux C.,"Guyeux, Christophe (35198071500)",35198071500,Predicting the Number of Pedestrians per Street Section: A Detailed Step-by-step Example,2023.0,Lecture Notes in Networks and Systems,692 LNNS,,,341,349,8.0,0.0,10.1007/978-3-031-33261-6_29,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172688565&doi=10.1007%2f978-3-031-33261-6_29&partnerID=40&md5=a024aed059230314efc9bbd26c56ddc8,Conference paper,Scopus,2-s2.0-85172688565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dombalyan A.; Shatalova E.; Semchugova E.; Proskurina O.,"Dombalyan, Anzhelika (57193746116); Shatalova, Elena (57221743053); Semchugova, Elena (57193751198); Proskurina, Olesya (58134492700)",57193746116; 57221743053; 57193751198; 58134492700,Studying pedestrian flows to improve the Rostov-on-Don's intelligent transport system,2023.0,E3S Web of Conferences,371,,05023,,,,0.0,10.1051/e3sconf/202337105023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149683034&doi=10.1051%2fe3sconf%2f202337105023&partnerID=40&md5=3b649a7db95fd3023b02b6212f7ca917,Conference paper,Scopus,2-s2.0-85149683034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Che M.; Wong Y.D.; Lum K.M.; Liu S.,"Che, Maohao (57214223941); Wong, Yiik Diew (57218910096); Lum, Kit Meng (7005205303); Liu, Shuai (57860588500)",57214223941; 57218910096; 7005205303; 57860588500,"Impact of “keep left” measure on pedestrians, cyclists and e-scooter riders at a crossing of a signalised junction",2024.0,Transportation Research Part A: Policy and Practice,179,,103942,,,,1.0,10.1016/j.tra.2023.103942,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85180404698&doi=10.1016%2fj.tra.2023.103942&partnerID=40&md5=38f598e65ffdc967a35e0bb1487540a7,Article,Scopus,2-s2.0-85180404698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Song Y.; Chen X.; Zou B.; Mu J.; Hu R.; Cheng S.; Zhao S.,"Song, Yu (57203488197); Chen, Xuejun (57089453600); Zou, Baoping (55763518000); Mu, Jundong (57223027254); Hu, Rusheng (57907537800); Cheng, Siqi (57907337400); Zhao, Shengli (57907737200)",57203488197; 57089453600; 55763518000; 57223027254; 57907537800; 57907337400; 57907737200,Monitoring Study of Long-Term Land Subsidence during Subway Operation in High-Density Urban Areas Based on DInSAR-GPS-GIS Technology and Numerical Simulation,2023.0,CMES - Computer Modeling in Engineering and Sciences,134,2,,1021,1039,18.0,5.0,10.32604/cmes.2022.021164,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138837513&doi=10.32604%2fcmes.2022.021164&partnerID=40&md5=d042f9c57518ecd18a4ee0dc5b3d9504,Article,Scopus,2-s2.0-85138837513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bayaraa M.; Rossi C.; Kalaitzis F.; Sheil B.,"Bayaraa, Maral (57208261949); Rossi, Cristian (36816271000); Kalaitzis, Freddie (57221042086); Sheil, Brian (55820332500)",57208261949; 36816271000; 57221042086; 55820332500,Entity Embeddings in Remote Sensing: Application to Deformation Monitoring for Infrastructure,2023.0,Remote Sensing,15,20,4910,,,,1.0,10.3390/rs15204910,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175338464&doi=10.3390%2frs15204910&partnerID=40&md5=8cfaa2af57a070da54cfb3b0ef2af815,Article,Scopus,2-s2.0-85175338464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
